,description.sold_price,description.lot_sqft,description.sqft,description.beds,basement,big_lot,big_yard,carport,central_air,central_heat,city_view,community_outdoor_space,community_security_features,community_swimming_pool,corner_lot,dining_room,dishwasher,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,groundscare,hardwood_floors,high_ceiling,hill_or_mountain_view,laundry_room,modern_kitchen,new_roof,open_floor_plan,park,ranch,recreation_facilities,rental_property,shopping,single_story,trails,two_or_more_stories,updated_kitchen,view,views,washer_dryer,city_mean,city_median,age,description.type_apartment,description.type_condo,description.type_condo_townhome_rowhome_coop,description.type_condos,description.type_duplex_triplex,description.type_land,description.type_mobile,description.type_multi_family,description.type_other,description.type_single_family,description.type_townhomes
22,107000.0,871.0,1222.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,238074.285714286,229497.5,71,0,0,0,0,0,0,0,0,0,0,1
23,237000.0,6098.0,2052.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,238074.285714286,229497.5,66,0,0,0,0,0,0,0,0,0,1,0
24,305000.0,16553.0,2324.0,4.0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,238074.285714286,229497.5,104,0,0,0,0,0,0,0,0,0,1,0
25,229000.0,3920.0,1631.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,238074.285714286,229497.5,25,0,0,0,1,0,0,0,0,0,0,0
26,225000.0,3049.0,3137.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,238074.285714286,229497.5,97,0,0,0,0,0,0,0,1,0,0,0
27,200000.0,2178.0,1442.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238074.285714286,229497.5,111,0,0,0,0,0,0,0,1,0,0,0
28,30000.0,1742.0,2324.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238074.285714286,229497.5,124,0,0,0,0,0,0,0,1,0,0,0
29,427900.0,13504.0,1962.0,3.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,238074.285714286,229497.5,15,0,0,0,0,0,0,0,0,0,1,0
30,200000.0,2178.0,1330.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238074.285714286,229497.5,111,0,0,0,0,0,0,0,1,0,0,0
31,225000.0,1307.0,1980.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238074.285714286,229497.5,124,0,0,0,0,0,0,0,1,0,0,0
32,225000.0,10454.0,1299.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,238074.285714286,229497.5,73,0,0,0,0,0,0,0,0,0,1,0
33,283000.0,12632.0,2215.0,3.0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,238074.285714286,229497.5,69,0,0,0,0,0,0,0,0,0,1,0
34,266900.0,11853.0,1637.0,3.0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,238074.285714286,229497.5,76,0,0,0,0,0,0,0,0,0,1,0
35,497900.0,15246.0,1518.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,238074.285714286,229497.5,1,0,0,0,0,0,0,0,0,0,1,0
36,260000.0,3049.0,1476.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,238074.285714286,229497.5,37,0,0,0,0,0,0,0,0,0,1,0
37,229995.0,3920.0,1488.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,238074.285714286,229497.5,36,0,0,0,0,0,0,0,0,0,1,0
38,703125.0,42689.0,4733.0,4.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,238074.285714286,229497.5,35,0,0,0,0,0,0,0,0,0,1,0
39,465000.0,9583.0,2341.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,238074.285714286,229497.5,29,0,0,0,0,0,0,0,0,0,1,0
40,230000.0,1742.0,2601.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,238074.285714286,229497.5,124,0,0,0,0,0,0,0,0,0,0,1
41,122500.0,2178.0,1440.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,238074.285714286,229497.5,101,0,0,0,0,0,0,0,0,0,0,1
105,360000.0,12480.0,2034.0,4.0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1058179.24528302,710000.0,57,0,0,0,0,0,0,0,0,0,1,0
106,400000.0,9583.0,2066.0,3.0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1007142.85714286,1041750.0,21,0,0,0,0,0,0,0,0,0,1,0
109,1075000.0,82764.0,5016.0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1058179.24528302,710000.0,60,0,0,0,0,0,0,0,0,0,1,0
111,1041750.0,284011.0,4012.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007142.85714286,1041750.0,34,0,0,0,0,0,0,0,0,0,1,0
112,430000.0,1463.0,1343.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058179.24528302,710000.0,38,0,1,0,0,0,0,0,0,0,0,0
113,500000.0,9583.0,744.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058179.24528302,710000.0,78,0,0,0,0,0,0,0,0,0,1,0
114,475000.0,130680.0,1633.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475000.0,475000.0,41,0,0,0,0,0,0,0,0,0,1,0
115,1550000.0,16988.0,2499.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058179.24528302,710000.0,74,0,0,0,0,0,0,0,0,0,1,0
116,465000.0,1572.0,1436.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058179.24528302,710000.0,39,0,1,0,0,0,0,0,0,0,0,0
118,1458250.0,417305.0,4428.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007142.85714286,1041750.0,51,0,0,0,0,0,0,0,0,0,1,0
119,3850000.0,29621.0,5519.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058179.24528302,710000.0,7,0,0,0,0,0,0,0,0,0,1,0
120,850000.0,6534.0,2080.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058179.24528302,710000.0,33,0,0,0,0,0,0,0,0,0,1,0
121,433000.0,9000.0,1612.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,714903.990476191,460000.0,59,0,0,0,0,0,0,0,0,0,1,0
123,810000.0,85813.0,2774.0,5.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,714903.990476191,460000.0,38,0,0,0,0,0,0,0,0,0,1,0
124,599000.0,15660.0,2164.0,4.0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,714903.990476191,460000.0,46,0,0,0,0,0,0,0,0,0,1,0
125,777000.0,33105.0,4148.0,6.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,714903.990476191,460000.0,38,0,0,0,0,0,0,0,0,0,1,0
126,460000.0,7500.0,2380.0,3.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,714903.990476191,460000.0,32,0,0,0,0,0,0,0,0,0,1,0
128,625000.0,8470.0,1690.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,714903.990476191,460000.0,64,0,0,0,0,0,0,0,0,0,1,0
129,7400000.0,266587.0,9571.0,5.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,714903.990476191,460000.0,27,0,0,0,0,0,0,0,0,0,1,0
130,380000.0,3652.0,1649.0,4.0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,714903.990476191,460000.0,43,0,0,0,0,0,0,0,0,0,0,1
