,description.sold_price,description.lot_sqft,description.sqft,description.beds,basement,big_lot,big_yard,carport,central_air,central_heat,city_view,community_outdoor_space,community_security_features,community_swimming_pool,corner_lot,dining_room,dishwasher,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,groundscare,hardwood_floors,high_ceiling,hill_or_mountain_view,laundry_room,modern_kitchen,new_roof,open_floor_plan,park,ranch,recreation_facilities,rental_property,shopping,single_story,trails,two_or_more_stories,updated_kitchen,view,views,washer_dryer,city_mean,city_median,age,description.type_apartment,description.type_condo,description.type_condo_townhome_rowhome_coop,description.type_condos,description.type_duplex_triplex,description.type_land,description.type_mobile,description.type_multi_family,description.type_other,description.type_single_family,description.type_townhomes
2423,359900.0,4791.0,1719.0,3.0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,435679.452380952,410500.0,84,0,0,0,0,0,0,0,0,0,1,0
2424,494000.0,19602.0,1935.0,4.0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,435679.452380952,410500.0,114,0,0,0,0,0,0,0,0,0,1,0
2425,645000.0,6970.0,2334.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435679.452380952,410500.0,5,0,0,0,0,0,0,0,0,0,1,0
2426,422500.0,7841.0,2160.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435679.452380952,410500.0,45,0,0,0,0,0,0,0,1,0,0,0
2427,420000.0,8712.0,1255.0,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,435679.452380952,410500.0,45,0,0,0,0,0,0,0,0,0,1,0
2428,495000.0,6098.0,1884.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435679.452380952,410500.0,8,0,0,0,0,0,0,0,0,0,1,0
2429,370000.0,6534.0,1040.0,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,435679.452380952,410500.0,47,0,0,0,0,0,0,0,0,0,1,0
2430,333900.0,6534.0,1289.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,435679.452380952,410500.0,44,0,0,0,0,0,0,0,0,0,1,0
2432,515000.0,10019.0,2197.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,435679.452380952,410500.0,27,0,0,0,0,0,0,0,0,0,1,0
2433,347000.0,4791.0,1276.0,3.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,435679.452380952,410500.0,20,0,0,0,0,0,0,0,0,0,1,0
2434,449000.0,5227.0,1992.0,4.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,435679.452380952,410500.0,22,0,0,0,0,0,0,0,0,0,1,0
2435,335000.0,3049.0,2198.0,3.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435679.452380952,410500.0,99,0,0,0,0,0,0,0,0,0,1,0
2436,429000.0,14375.0,1793.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,435679.452380952,410500.0,72,0,0,0,0,0,0,0,0,0,1,0
2437,366000.0,4792.0,1208.0,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,435679.452380952,410500.0,23,0,0,0,0,0,0,0,0,0,1,0
2438,330000.0,2614.0,1792.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435679.452380952,410500.0,76,0,0,0,0,0,0,0,0,0,1,0
2439,312000.0,3920.0,901.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,435679.452380952,410500.0,73,0,0,0,0,0,0,0,0,0,1,0
2440,430000.0,6098.0,2296.0,3.0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,435679.452380952,410500.0,45,0,0,0,0,0,0,0,0,0,1,0
2442,575000.0,8276.0,2160.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,435679.452380952,410500.0,55,0,0,0,0,0,0,0,0,0,1,0
2443,498500.0,17424.0,2256.0,3.0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,435679.452380952,410500.0,43,0,0,0,0,0,0,0,0,0,1,0
2444,465000.0,69696.0,2376.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,435679.452380952,410500.0,60,0,0,0,0,0,0,0,0,0,1,0
2446,350500.0,4791.0,1634.0,2.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,435679.452380952,410500.0,101,0,0,0,0,0,0,0,0,0,1,0
2448,375000.0,9148.0,1464.0,3.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,435679.452380952,410500.0,66,0,0,0,0,0,0,0,0,0,1,0
2449,410500.0,10019.0,1311.0,3.0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,435679.452380952,410500.0,33,0,0,0,0,0,0,0,0,0,1,0
2451,490000.0,13068.0,1999.0,3.0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,435679.452380952,410500.0,44,0,0,0,0,0,0,0,0,0,1,0
2452,487000.0,5227.0,2300.0,3.0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,435679.452380952,410500.0,17,0,0,0,0,0,0,0,0,0,1,0
2453,395000.0,6970.0,1360.0,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435679.452380952,410500.0,68,0,0,0,0,0,0,0,0,0,1,0
2454,374000.0,6098.0,1424.0,3.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,435679.452380952,410500.0,94,0,0,0,0,0,0,0,0,0,1,0
2456,529900.0,13068.0,1891.0,3.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435679.452380952,410500.0,83,0,0,0,0,0,0,0,0,0,1,0
2457,425000.0,11761.0,2055.0,4.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,435679.452380952,410500.0,63,0,0,0,0,0,0,0,0,0,1,0
2458,369900.0,7405.0,1352.0,3.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,435679.452380952,410500.0,47,0,0,0,0,0,0,0,0,0,1,0
2459,214400.0,9148.0,1120.0,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435679.452380952,410500.0,76,0,0,0,0,0,0,0,0,0,1,0
2460,2800000.0,14893.0,6225.0,5.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,621292.707317073,430000.0,92,0,0,0,0,0,0,0,0,0,1,0
2461,475000.0,4356.0,1992.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,621292.707317073,430000.0,49,0,0,0,0,0,0,0,1,0,0,0
2462,570000.0,3920.0,3150.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,621292.707317073,430000.0,104,0,0,0,0,0,0,0,1,0,0,0
2464,541000.0,11500.0,3867.0,5.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,621292.707317073,430000.0,97,0,0,0,0,0,0,0,0,0,1,0
2465,315000.0,1743.0,933.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,621292.707317073,430000.0,94,0,0,0,0,0,0,0,0,0,1,0
2466,395000.0,6482.0,1517.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,621292.707317073,430000.0,64,0,0,0,0,0,0,0,0,0,1,0
2467,324000.0,3825.0,1232.0,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,621292.707317073,430000.0,23,0,0,0,0,0,0,0,0,0,1,0
2468,550000.0,3920.0,3116.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,621292.707317073,430000.0,104,0,0,0,0,0,0,0,1,0,0,0
2469,960000.0,4278.0,4278.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621292.707317073,430000.0,94,0,0,0,0,0,0,0,1,0,0,0
2471,534000.0,3328.0,2634.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,621292.707317073,430000.0,104,0,0,0,0,0,0,0,1,0,0,0
2472,2500000.0,22394.0,3303.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,621292.707317073,430000.0,50,0,0,0,0,0,0,0,0,0,1,0
2473,440000.0,12632.0,2400.0,6.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,621292.707317073,430000.0,84,0,0,0,0,0,0,0,1,0,0,0
2474,330000.0,3400.0,1666.0,3.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,621292.707317073,430000.0,170,0,0,0,0,0,0,0,0,0,1,0
2475,1410000.0,6098.0,3212.0,5.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,621292.707317073,430000.0,96,0,0,0,0,0,0,0,0,0,1,0
2476,1325000.0,7876.0,4952.0,2.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,621292.707317073,430000.0,41,0,0,0,0,0,0,0,0,0,1,0
2478,412000.0,11326.0,2264.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,621292.707317073,430000.0,77,0,0,0,0,0,0,0,0,0,1,0
2479,2800000.0,21366.0,6551.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,621292.707317073,430000.0,95,0,0,0,0,0,0,0,0,0,1,0
2480,410000.0,3942.0,2546.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,621292.707317073,430000.0,104,0,0,0,0,0,0,0,1,0,0,0
2481,485000.0,3920.0,1986.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,621292.707317073,430000.0,144,0,0,0,0,0,0,0,1,0,0,0
2482,235001.0,3598.0,1560.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,621292.707317073,430000.0,101,0,0,0,0,0,0,0,0,0,1,0
2483,475000.0,3049.0,2005.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621292.707317073,430000.0,144,0,0,0,0,0,0,0,1,0,0,0
2484,580000.0,7118.0,2646.0,6.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,621292.707317073,430000.0,17,0,0,0,0,0,0,0,1,0,0,0
2485,265000.0,4051.0,2144.0,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,621292.707317073,430000.0,71,0,0,0,0,0,0,0,0,0,1,0
2486,430000.0,3999.0,1944.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,621292.707317073,430000.0,94,0,0,0,0,0,0,0,1,0,0,0
2487,739900.0,5227.0,3016.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,621292.707317073,430000.0,119,0,0,0,0,0,0,0,1,0,0,0
2489,305000.0,4639.0,1121.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,621292.707317073,430000.0,185,0,0,0,0,0,0,0,0,0,1,0
2490,315000.0,3049.0,1440.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,621292.707317073,430000.0,94,0,0,0,0,0,0,0,0,0,1,0
2491,320000.0,4857.0,2062.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,621292.707317073,430000.0,104,0,0,0,0,0,0,0,0,0,1,0
2492,599000.0,10001.0,2450.0,4.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,621292.707317073,430000.0,74,0,0,0,0,0,0,0,0,0,1,0
2493,340000.0,3049.0,2439.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,621292.707317073,430000.0,94,0,0,0,0,0,0,0,0,0,1,0
2494,431000.0,5000.0,1574.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,621292.707317073,430000.0,104,0,0,0,0,0,0,0,0,0,1,0
2495,450000.0,3485.0,3456.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,621292.707317073,430000.0,36,0,0,0,0,0,0,0,1,0,0,0
2496,280000.0,3202.0,2101.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,621292.707317073,430000.0,94,0,0,0,0,0,0,0,0,0,1,0
2497,300000.0,2853.0,1272.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,621292.707317073,430000.0,94,0,0,0,0,0,0,0,0,0,1,0
2498,590000.0,3202.0,3201.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,621292.707317073,430000.0,104,0,0,0,0,0,0,0,1,0,0,0
2499,425000.0,5001.0,1836.0,4.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,621292.707317073,430000.0,94,0,0,0,0,0,0,0,1,0,0,0
2500,345000.0,3202.0,1542.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,621292.707317073,430000.0,94,0,0,0,0,0,0,0,0,0,1,0
2557,1075000.0,82764.0,5016.0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1058179.24528302,710000.0,60,0,0,0,0,0,0,0,0,0,1,0
2559,1041750.0,284011.0,4012.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007142.85714286,1041750.0,34,0,0,0,0,0,0,0,0,0,1,0
2560,430000.0,1463.0,1343.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058179.24528302,710000.0,38,0,1,0,0,0,0,0,0,0,0,0
2561,500000.0,9583.0,744.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058179.24528302,710000.0,78,0,0,0,0,0,0,0,0,0,1,0
2562,475000.0,130680.0,1633.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475000.0,475000.0,41,0,0,0,0,0,0,0,0,0,1,0
2563,1550000.0,16988.0,2499.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058179.24528302,710000.0,74,0,0,0,0,0,0,0,0,0,1,0
2564,465000.0,1572.0,1436.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058179.24528302,710000.0,39,0,1,0,0,0,0,0,0,0,0,0
2566,1458250.0,417305.0,4428.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007142.85714286,1041750.0,51,0,0,0,0,0,0,0,0,0,1,0
2567,3850000.0,29621.0,5519.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058179.24528302,710000.0,7,0,0,0,0,0,0,0,0,0,1,0
2568,850000.0,6534.0,2080.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058179.24528302,710000.0,33,0,0,0,0,0,0,0,0,0,1,0
2571,433000.0,9000.0,1612.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,714903.990476191,460000.0,59,0,0,0,0,0,0,0,0,0,1,0
2573,810000.0,85813.0,2774.0,5.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,714903.990476191,460000.0,38,0,0,0,0,0,0,0,0,0,1,0
2574,599000.0,15660.0,2164.0,4.0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,714903.990476191,460000.0,46,0,0,0,0,0,0,0,0,0,1,0
2575,777000.0,33105.0,4148.0,6.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,714903.990476191,460000.0,38,0,0,0,0,0,0,0,0,0,1,0
2576,460000.0,7500.0,2380.0,3.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,714903.990476191,460000.0,32,0,0,0,0,0,0,0,0,0,1,0
2578,625000.0,8470.0,1690.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,714903.990476191,460000.0,64,0,0,0,0,0,0,0,0,0,1,0
2579,985000.0,15483.0,1848.0,4.0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,714903.990476191,460000.0,71,0,0,0,0,0,0,0,0,0,1,0
2580,380000.0,3652.0,1649.0,4.0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,714903.990476191,460000.0,43,0,0,0,0,0,0,0,0,0,0,1
2581,7400000.0,266587.0,9571.0,5.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,714903.990476191,460000.0,27,0,0,0,0,0,0,0,0,0,1,0
2582,555000.0,5850.0,1272.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,714903.990476191,460000.0,41,0,0,0,0,0,0,0,0,0,1,0
2583,452500.0,19115.0,1713.0,3.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,714903.990476191,460000.0,63,0,0,0,0,0,0,0,0,0,1,0
2584,410000.0,2160.0,1234.0,2.0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,714903.990476191,460000.0,32,0,0,0,0,0,0,0,0,0,0,1
2585,555000.0,39204.0,3800.0,4.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,714903.990476191,460000.0,124,0,0,0,0,0,0,0,0,0,1,0
