,list_price,property_id,price_reduced_amount,description.year_built,description.sold_price,description.lot_sqft,description.sqft,description.stories,description.beds,description.type,location.address.state,location.address.state_code,basement,big_lot,big_yard,carport,central_air,central_heat,city_view,community_outdoor_space,community_security_features,community_swimming_pool,corner_lot,dining_room,dishwasher,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,groundscare,hardwood_floors,high_ceiling,hill_or_mountain_view,laundry_room,modern_kitchen,new_roof,open_floor_plan,park,ranch,recreation_facilities,rental_property,shopping,single_story,trails,two_or_more_stories,updated_kitchen,view,views,washer_dryer,mean,median,std
17,279900.0,4745212853,,1986.0,275000,9148.0,1300.0,1.0,3.0,single_family,Pennsylvania,PA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
18,242000.0,3790201693,,2005.0,242000,,1548.0,1.0,2.0,condos,Pennsylvania,PA,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,238074.2857142860,229497.5,133706.45146947500
19,229900.0,3230593556,,1994.0,241500,2178.0,1600.0,2.0,3.0,townhomes,Pennsylvania,PA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
20,330000.0,3815639811,,2003.0,350000,13504.0,1884.0,2.0,3.0,single_family,Pennsylvania,PA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
21,280000.0,9608598188,,1904.0,274500,1307.0,2136.0,,3.0,multi_family,Pennsylvania,PA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,238074.2857142860,229497.5,133706.45146947500
22,99990.0,4361286518,,1953.0,107000,871.0,1222.0,2.0,3.0,townhomes,Pennsylvania,PA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
23,234900.0,4601742123,15000.0,1958.0,237000,6098.0,2052.0,1.0,3.0,single_family,Pennsylvania,PA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
24,299999.0,4951875249,22501.0,1920.0,305000,16553.0,2324.0,3.0,4.0,single_family,Pennsylvania,PA,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,238074.2857142860,229497.5,133706.45146947500
25,229900.0,4261378972,10000.0,1999.0,229000,3920.0,1631.0,1.0,2.0,condos,Pennsylvania,PA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
26,225000.0,9059632678,,1927.0,225000,3049.0,3137.0,,4.0,multi_family,Pennsylvania,PA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
27,250000.0,4509473637,,1913.0,200000,2178.0,1442.0,,4.0,multi_family,Pennsylvania,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
28,225000.0,4556129434,,1900.0,30000,1742.0,2324.0,,3.0,multi_family,Pennsylvania,PA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
29,399900.0,3171654395,,2009.0,427900,13504.0,1962.0,2.0,3.0,single_family,Pennsylvania,PA,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,238074.2857142860,229497.5,133706.45146947500
30,250000.0,4402669447,,1913.0,200000,2178.0,1330.0,,4.0,multi_family,Pennsylvania,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
31,225000.0,3922485640,,1900.0,225000,1307.0,1980.0,,4.0,multi_family,Pennsylvania,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
32,233000.0,4173013199,7000.0,1951.0,225000,10454.0,1299.0,1.0,2.0,single_family,Pennsylvania,PA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
33,279900.0,3394787299,45100.0,1955.0,283000,12632.0,2215.0,1.0,3.0,single_family,Pennsylvania,PA,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,238074.2857142860,229497.5,133706.45146947500
34,269900.0,4621861360,,1948.0,266900,11853.0,1637.0,1.0,3.0,single_family,Pennsylvania,PA,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,238074.2857142860,229497.5,133706.45146947500
35,497900.0,9063808434,,2023.0,497900,15246.0,1518.0,2.0,3.0,single_family,Pennsylvania,PA,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,238074.2857142860,229497.5,133706.45146947500
36,265000.0,4198618753,10000.0,1987.0,260000,3049.0,1476.0,3.0,2.0,single_family,Pennsylvania,PA,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,238074.2857142860,229497.5,133706.45146947500
37,229995.0,4853549319,,1988.0,229995,3920.0,1488.0,2.0,3.0,single_family,Pennsylvania,PA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,238074.2857142860,229497.5,133706.45146947500
38,749900.0,3985214371,,1989.0,703125,42689.0,4733.0,4.0,4.0,single_family,Pennsylvania,PA,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,238074.2857142860,229497.5,133706.45146947500
39,459900.0,4460846595,,1995.0,465000,9583.0,2341.0,2.0,3.0,single_family,Pennsylvania,PA,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,238074.2857142860,229497.5,133706.45146947500
40,235000.0,3323159008,,1900.0,230000,1742.0,2601.0,3.0,3.0,townhomes,Pennsylvania,PA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,238074.2857142860,229497.5,133706.45146947500
41,129900.0,3382602070,,1923.0,122500,2178.0,1440.0,2.0,3.0,townhomes,Pennsylvania,PA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,238074.2857142860,229497.5,133706.45146947500
42,21800.0,7107886772,,1961.0,,10799.0,1412.0,1.0,2.0,single_family,Louisiana,LA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,
43,169000.0,8886806254,,1980.0,,29216.0,1524.0,1.0,3.0,single_family,Louisiana,LA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
44,185900.0,7876459571,4000.0,2012.0,,1742.0,1533.0,1.0,3.0,condos,Louisiana,LA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,,,
